specobjid,objid,ra,dec,p_el_debiased,p_cs_debiased,spiral,elliptical,petroR50_r,petroR90_r,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z
451505683850881024,1237666407917027442,26.284292,-0.022444444,0.0280000008642673,0.972000002861023,1,0,2.4064193,5.095681,19.34734,17.9316,17.163189,16.743248,16.397839,0.16055907,0.11813784,0.08568342,0.06497114,0.04606535
452697554539276288,1237666407917224014,26.608168,-0.117305554,0.0089999996125698,0.99099999666214,1,0,2.9312346,8.446341,20.127066,18.411871,17.641243,17.189346,16.847515,0.16057122,0.11814678,0.0856899,0.06497606,0.046068832
452688208690440192,1237666407917289537,26.779709,-0.068222225,0.0450000017881393,0.915000021457672,1,0,2.6576226,5.842089,18.824852,17.41931,16.83825,16.528133,16.312815,0.16904294,0.12438019,0.09021089,0.06840418,0.04849942
452675839184627712,1237666407917355144,26.943916,-0.03175,0.0430000014603138,0.9570000171661376,1,0,2.1859858,4.5220294,19.355627,18.044014,17.52097,17.163372,16.988232,0.17278661,0.12713474,0.09220872,0.06991908,0.0495735
451548015048550400,1237666407379566757,24.90125,-0.44655555,0.9539999961853028,0.0460000000894069,0,1,2.410992,7.1329937,17.711061,16.097692,15.309567,14.925471,14.645428,0.18080541,0.1330349,0.09648801,0.073163934,0.051874142
451549114560178176,1237666407379566646,24.926916,-0.46486112,0.0240000002086162,0.9380000233650208,1,0,3.3579419,8.212742,18.852528,17.684408,17.20746,16.868732,16.773075,0.18027176,0.13264224,0.09620322,0.07294799,0.051721033
451618933548541952,1237657071158362207,25.638042,0.21966666,0.0630000010132789,0.9160000085830688,1,0,3.3046489,7.4049883,18.321674,16.931995,16.312103,15.915098,15.708079,0.15997592,0.11770876,0.08537222,0.06473517,0.04589804
451535920420644864,1237666407379697742,25.10575,-0.45872223,0.0,1.0,1,0,3.043219,6.0996437,18.102406,17.101002,16.778463,16.514591,16.405947,0.19292295,0.14195088,0.10295462,0.07806737,0.05535074
451649170118305792,1237657071158558867,26.193832,0.27230555,0.0,1.0,1,0,3.912035,8.129807,18.108912,16.498827,15.806623,15.39457,15.115774,0.18141237,0.1334815,0.09681191,0.07340954,0.05204828
451533721397389312,1237666407379828965,25.528833,-0.60747224,0.0070000002160668,0.925000011920929,1,0,3.2173188,6.488322,18.405212,17.298393,16.837408,16.530283,16.473629,0.17211892,0.12664346,0.091852404,0.0696489,0.049381938
451645871583422464,1237657071158624380,26.2265,0.28147224,0.0309999994933605,0.9259999990463256,1,0,2.7885525,6.761144,18.89352,17.626009,17.302109,17.02939,16.944765,0.18372482,0.13518298,0.098045975,0.07434529,0.052711736
451646146461329408,1237657071158624335,26.312916,0.39916667,0.0320000015199184,0.9679999947547911,1,0,2.8846562,6.9873033,18.325918,16.720875,15.966443,15.543954,15.271631,0.17516865,0.12888743,0.09347992,0.07088299,0.050256923
451558185531107328,1237666407916437584,24.861626,-0.07438889,0.0439999997615814,0.9559999704360962,1,0,1.8915968,5.7066574,19.952374,18.413996,17.39019,16.836462,16.404495,0.15710095,0.11559337,0.083837956,0.06357179,0.04507319
451551038705526784,1237666407916503322,25.057083,-0.11677778,0.0439999997615814,0.9559999704360962,1,0,2.1706872,4.289278,19.151583,18.08234,17.296938,16.890842,16.606417,0.17735612,0.13049695,0.09464727,0.071768165,0.050884522
451531522374133760,1237666407916699906,25.547,-0.07069445,0.962000012397766,0.0,0,1,2.438249,7.9572673,19.866335,17.853855,16.598555,16.099169,15.708912,0.16712748,0.1229708,0.08918869,0.06762908,0.04794986
451532347007854592,1237666407916765275,25.563042,-0.044944443,0.0799999982118606,0.9200000166893004,1,0,2.5742912,5.2032027,19.426216,18.127937,17.350014,16.976944,16.67408,0.17134948,0.12607732,0.09144179,0.06933754,0.04916118
451642847926446080,1237657071695560857,26.484041,0.7384722,0.0340000018477439,0.9229999780654908,1,0,3.1235628,7.004762,19.088518,18.003002,17.56263,17.261824,17.041187,0.15259421,0.11227737,0.081432916,0.061748113,0.04378018
452707999899740160,1237657071695691882,26.670708,0.6568611,0.0340000018477439,0.9660000205039978,1,0,2.396185,5.319417,19.120937,17.724724,16.98358,16.583931,16.301023,0.17097038,0.12579837,0.091239475,0.06918413,0.049052414
451594194536916992,1237657071158034580,24.854124,0.38033333,0.0579999983310699,0.902999997138977,1,0,2.253076,6.4383864,20.080286,18.44677,17.503735,17.020668,16.681675,0.224281,0.16502382,0.11968905,0.09075658,0.06434754
451601616240404480,1237657071158165652,25.179167,0.31502777,0.0430000014603138,0.9229999780654908,1,0,3.3439536,8.081862,18.299809,17.233747,16.871979,16.593454,16.464334,0.19178219,0.14111151,0.10234584,0.077605754,0.055023447
451651644019468288,1237678617429475425,26.603582,1.1723889,0.0390000008046627,0.9200000166893004,1,0,2.592271,6.79839,19.184313,18.027372,17.179844,16.747131,16.46891,0.11665518,0.085833766,0.06225381,0.04720518,0.03346906
451602990629939200,1237657071694971042,25.115126,0.6799167,0.0399999991059303,0.915000021457672,1,0,2.4538126,4.877878,19.983074,18.564236,17.658201,17.249743,16.907906,0.18463449,0.1358523,0.098531425,0.074713394,0.052972727
451598867461335040,1237657071695102174,25.402834,0.78533334,0.0230000000447034,0.9769999980926514,1,0,2.45943,5.9020243,19.5079,17.944405,17.258892,16.888199,16.594273,0.15082367,0.11097462,0.08048805,0.06103165,0.0432722
451575227961337856,1237657072231710880,24.831541,1.0671111,0.0549999997019767,0.925000011920929,1,0,2.6804469,8.11744,19.92853,17.859884,16.764473,16.255625,15.870181,0.1480403,0.10892664,0.079002686,0.059905343,0.042473637
